countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014
MYANMAR,,0.0,0.02,0.0,,0.0,,,0.02,0.02
MEXICO,0.01,0.01,,0.0,0.0,,,,0.0,
MOROCCO,,,,,0.01,,,0.02,0.0,
MOZAMBIQUE,0.02,0.01,0.0,0.0,0.0,,0.0,0.01,0.01,
NEPAL,10.89,21.0,17.28,19.02,16.01,13.42,11.7,8.13,6.38,3.61
NETHERLAND,0.19,0.28,0.52,0.29,0.47,0.42,0.02,,0.03,
NETHERLANDANTIL,0.0,0.01,0.02,0.0,0.05,0.02,0.03,,,
NEW ZEALAND,0.02,0.18,0.04,0.04,0.0,0.0,0.0,,,
MAURITIUS,0.05,0.08,0.07,0.1,0.08,0.08,0.06,0.06,0.06,0.02
LEBANON,0.03,,,,,0.0,,,,0.01
LATVIA,,0.02,,,,,,,,
LAO PD RP,,0.01,,0.0,,,,,,
GUINEA,0.05,0.61,0.42,0.33,0.01,0.0,0.0,0.0,,
GUINEA BISSAU,0.01,0.02,0.03,0.0,,,0.0,,,
GUYANA,,0.01,,0.01,,,,,,
HONG KONG,0.03,0.0,0.01,0.0,0.0,,,0.0,,
INDONESIA,,0.0,0.0,,,,,0.0,,1.28
IRAQ,,,0.02,0.02,0.02,0.01,0.02,0.01,,
GHANA,0.01,0.0,0.0,0.01,0.01,0.02,0.45,,,0.03
ISRAEL,0.08,0.11,0.05,0.04,0.03,,,,,
IRELAND,0.0,,0.03,,,,,,0.02,0.12
COTE D' IVOIRE,0.08,0.15,0.12,0.4,,0.0,0.06,,0.0,
JAMAICA,0.0,,0.0,0.0,,,,,,
JAPAN,0.0,0.01,0.01,,0.47,0.0,0.0,0.0,0.0,0.0
JORDAN,0.02,,,,0.0,,,0.0,0.01,0.01
KENYA,0.45,0.52,0.1,0.27,0.73,0.47,0.21,0.2,0.05,0.09
KOREA RP,0.0,,,,0.02,,,0.0,0.0,
KUWAIT,0.19,0.16,0.14,0.05,0.02,0.25,0.05,0.01,0.02,
ITALY,0.0,0.01,0.04,0.01,,0.0,0.0,0.22,0.04,
KAZAKHSTAN,,,,,,,,0.0,0.0,0.0
%Share,0.01,0.0103,0.0127,0.0127,0.0101,0.0097,0.0085,0.006,0.0045,0.005
India's Total,298285.79,422004.4,291808.48,313361.04,330078.09,303526.16,275852.43,262291.09,310338.48,314405.3
Total,29.77,43.37,37.15,39.66,33.32,29.58,23.34,15.72,13.98,15.84
