countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
FIJI IS,0.02,0.01,0.01,0.0,0.02,0.01,0.05,0.0,0.0,0.01,0.0,0.0,,0.02,0.02,0.0,0.01,0.03,0.01,0.0,0.0,,,,0.0,
FRANCE,0.01,0.0,,0.0,0.17,,,,0.0,0.0,,,,,,,0.02,0.01,,0.01,,,,,0.01,
GABON,,,0.04,0.08,0.0,,,,0.0,,,,0.0,,,0.03,0.03,0.01,,,,,,,,
GAMBIA,0.01,0.06,0.07,0.02,0.07,0.03,0.09,,0.11,0.17,0.04,0.06,0.07,0.02,0.04,0.08,0.14,0.01,0.01,0.01,,,,,,
GERMANY,0.0,0.01,0.06,0.01,0.08,0.11,0.01,0.0,0.06,,0.0,0.01,0.03,0.01,0.09,0.03,0.06,0.05,0.05,0.02,,0.0,,,,0.0
GHANA,0.17,0.49,0.26,0.07,0.11,0.04,0.08,0.07,0.02,,0.0,0.0,0.01,0.05,0.21,0.31,0.31,0.08,0.02,0.14,,0.01,,,0.06,0.02
GUATEMALA,,0.01,0.01,0.11,0.09,,,0.0,,,,,,,,,,,,,,,,,,
GUINEA,0.25,0.37,0.37,0.34,0.21,0.25,0.1,0.1,0.03,0.03,,0.02,0.0,0.07,0.07,0.11,0.01,0.0,0.02,,,,,0.02,,
GUINEA BISSAU,0.03,0.03,,,,,,,,,,0.01,,,,,,,,,,,,,,
GUYANA,0.0,0.02,0.02,0.03,0.03,0.02,0.01,0.0,,0.01,0.0,,,,,,,,,,,0.0,0.01,,,
HAITI,0.15,0.26,0.42,0.24,0.26,0.39,0.15,0.01,,,0.05,0.03,,,0.01,,,,,,,,,,,
HONG KONG,0.16,0.88,3.8,4.79,8.4,6.36,9.61,9.25,6.37,3.34,0.15,0.78,0.01,0.0,0.07,0.06,0.05,0.02,0.03,0.06,0.0,,,,,
INDONESIA,7.45,15.03,13.14,18.91,18.68,13.18,4.44,,7.97,4.1,3.71,,,,,,,0.07,0.01,,0.0,,,,0.07,
IRAN,0.07,0.0,,,0.0,,0.13,0.01,0.0,,,,,,,,,,,,,,,,,
IRAQ,0.9,1.08,0.23,0.05,0.6,0.5,2.76,4.07,2.67,0.43,,,,,,,,,,,,,,,,
ECUADOR,,0.01,,,,,,,,,,,0.0,,,,,,,,,,,,,
ISRAEL,0.19,0.56,0.38,0.84,1.02,0.77,0.45,0.4,0.31,0.25,0.14,0.03,,,0.01,0.0,0.0,0.0,,,,,0.0,,,
DOMINIC REP,0.04,0.04,0.12,0.07,0.17,0.09,0.07,,0.05,0.08,0.11,0.03,,,,,,,,,,,,,,
DENMARK,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,
ANGOLA,0.18,0.07,0.04,0.07,0.05,0.03,,0.0,0.03,0.01,,0.05,,,0.26,0.66,0.04,0.02,0.0,0.03,,,,,,
AUSTRALIA,0.17,0.46,0.35,1.13,1.03,1.15,0.42,0.44,0.09,0.04,0.11,0.1,0.37,0.28,0.36,0.31,0.11,0.12,0.01,0.04,0.0,,0.01,,,0.0
ARUBA,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BAHARAIN IS,0.18,0.12,0.04,0.09,0.29,0.62,0.54,0.56,0.02,0.02,0.08,0.09,0.01,0.07,0.13,0.01,0.06,0.02,0.0,0.0,,0.01,0.01,0.02,,0.0
BANGLADESH PR,1.9,2.74,2.27,2.88,3.22,3.8,3.87,1.81,0.95,0.43,0.57,0.63,0.17,0.11,0.23,0.07,,0.12,0.1,0.38,0.43,0.63,0.79,1.33,0.67,0.69
BARBADOS,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,
BENIN,1.33,0.82,0.58,0.36,0.57,1.02,1.0,0.49,1.33,1.14,1.01,0.92,0.68,0.63,0.68,0.49,0.16,0.0,,,,0.01,,,,
BHUTAN,0.66,0.9,1.02,0.75,0.58,0.38,0.58,2.32,6.43,5.82,1.49,0.14,,0.02,,,,0.19,0.21,0.01,,,,,,
BOTSWANA,0.0,0.0,,,0.0,,,,0.01,,,,,,,,,,0.01,0.01,,,0.0,,,
BRAZIL,6.8,11.41,10.99,9.25,,,,0.0,,,,,,,,,0.0,,,,,,,,,
BRUNEI,0.03,0.04,0.02,0.23,0.19,0.09,0.1,0.16,0.05,0.02,0.01,,,0.05,0.0,,,,,,,,,,,
BURKINA FASO,0.05,0.04,,0.03,,,0.0,,,,,,,,,0.09,0.03,,,0.01,,,,,,
CAMEROON,0.13,0.07,0.06,0.03,0.09,0.19,0.08,0.09,0.06,0.09,0.15,0.15,0.1,0.05,0.15,0.31,0.25,0.0,,0.0,,,0.0,,0.0,
CANADA,0.11,0.21,0.14,0.37,0.16,0.12,0.05,0.08,0.05,0.07,0.18,0.01,0.01,0.02,0.04,0.09,0.11,0.09,0.02,0.03,,0.02,,,0.0,
CAPE VERDE IS,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
