Node ID,Node Path,Query,Refinement Link
166092011,Toys & Games/Building Toys,item_type_keyword:building-and-stacking-toys,See all available refinements
166099011,Toys & Games/Building Toys/Building Sets,item_type_keyword:toy-interlocking-building-sets,See all available refinements
3228092011,Toys & Games/Building Toys/Figures,item_type_keyword:toy-interlocking-building-set-figures,See all available refinements
166103011,Toys & Games/Building Toys/Gear Sets,item_type_keyword:toy-interlocking-gear-sets,See all available refinements
23462539011,Toys & Games/Building Toys/Magnetic Building,item_type_keyword:toy-interlocking-magnetic-building-sets,See all available refinements
166093011,Toys & Games/Building Toys/Stacking Blocks,item_type_keyword:toy-stacking-block-sets,See all available refinements
166100011,Toys & Games/Building Toys/Storage & Accessories,item_type_keyword:toy-interlocking-building-accessories,See all available refinements
19431275011,Toys & Games/Collectible Toys,,See all available refinements
19431291011,Toys & Games/Collectible Toys/Collectible Display & Storage,,See all available refinements
5374108011,Toys & Games/Collectible Toys/Collectible Display & Storage/Card Storage & Display,,See all available refinements
2522045011,Toys & Games/Collectible Toys/Collectible Display & Storage/Card Storage & Display/Albums,item_type_keyword:collectible-trading-card-albums,See all available refinements
2522048011,Toys & Games/Collectible Toys/Collectible Display & Storage/Card Storage & Display/Cases,item_type_keyword:collectible-trading-card-cases,See all available refinements
5374109011,Toys & Games/Collectible Toys/Collectible Display & Storage/Card Storage & Display/Protective Sleeves,item_type_keyword:collectible-trading-card-protective-sleeves,See all available refinements
19431292011,Toys & Games/Collectible Toys/Collectible Display & Storage/Card Storage & Display/Screwdowns,item_type_keyword:collectible-card-screwdowns,See all available refinements
2234136011,Toys & Games/Collectible Toys/Collectible Display & Storage/Carrying Cases,item_type_keyword:hobby-carrying-bags-and-cases,See all available refinements
276801011,Toys & Games/Collectible Toys/Collectible Display & Storage/Coin Collecting Storage,item_type_keyword:coin-collecting-accessories,See all available refinements
9443152011,Toys & Games/Collectible Toys/Collectible Display & Storage/Display Cases,item_type_keyword:hobby-display-cases,See all available refinements
21228049011,Toys & Games/Collectible Toys/Collectible Display & Storage/Figure Display Stands,item_type_keyword:hobby-figure-display-stands,See all available refinements
23900372011,Toys & Games/Collectible Toys/Collectible Display & Storage/Stamp Albums,item_type_keyword:stamp-albums,See all available refinements
23900371011,Toys & Games/Collectible Toys/Collectible Postage Stamps,item_type_keyword:collectible-postage-stamps,See all available refinements
166026011,"Toys & Games/Collectible Toys/Statues, Bobbleheads & Busts",item_type_keyword:collectible-toy-figures,See all available refinements
166503011,"Toys & Games/Collectible Toys/Statues, Bobbleheads & Busts/Bobbleheads",item_type_keyword:bobble-head-toy-figures,See all available refinements
2514595011,"Toys & Games/Collectible Toys/Statues, Bobbleheads & Busts/Busts",item_type_keyword:toy-figure-busts,See all available refinements
2514596011,"Toys & Games/Collectible Toys/Statues, Bobbleheads & Busts/Statues",item_type_keyword:toy-figure-statues,See all available refinements
19431284011,Toys & Games/Collectible Toys/Trading Cards & Accessories,,See all available refinements
19431285011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Stickers & Sticker Collections,item_type_keyword:collectible-trading-card-stickers,See all available refinements
19431286011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards,,See all available refinements
19431287011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards/Non Sports,,See all available refinements
19431288011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards/Non Sports/Boxes,item_type_keyword:non-sports-trading-card-boxes,See all available refinements
19431289011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards/Non Sports/Packs,item_type_keyword:non-sports-trading-card-packs,See all available refinements
19431290011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards/Non Sports/Singles,item_type_keyword:non-sports-trading-card-singles,See all available refinements
374806011,Toys & Games/Collectible Toys/Trading Cards & Accessories/Trading Cards/Sports,item_type_keyword:sports-related-trading-cards,See all available refinements
166118011,Toys & Games/Dolls & Accessories,,See all available refinements
166119011,Toys & Games/Dolls & Accessories/Doll Accessories,item_type_keyword:doll-accessories,See all available refinements
23564880011,Toys & Games/Dolls & Accessories/Doll Accessories/Clothing,item_type_keyword:doll-clothing,See all available refinements
23564882011,Toys & Games/Dolls & Accessories/Doll Accessories/Clothing & Accessories Sets,item_type_keyword:doll-clothing-and-accessories-sets,See all available refinements
2491295011,Toys & Games/Dolls & Accessories/Doll Accessories/Furniture,item_type_keyword:doll-furniture,See all available refinements
23564881011,Toys & Games/Dolls & Accessories/Doll Accessories/Shoes,item_type_keyword:doll-shoes,See all available refinements
2491297011,Toys & Games/Dolls & Accessories/Doll Accessories/Strollers,item_type_keyword:baby-doll-strollers,See all available refinements
23564879011,Toys & Games/Dolls & Accessories/Doll Accessories/Vehicles,item_type_keyword:doll-vehicles,See all available refinements
23642803011,Toys & Games/Dolls & Accessories/Doll Accessories/Vehicles/Airplanes,item_type_keyword:doll-airplanes,See all available refinements
23642806011,Toys & Games/Dolls & Accessories/Doll Accessories/Vehicles/Bicycles,item_type_keyword:doll-bicycles,See all available refinements
23642802011,Toys & Games/Dolls & Accessories/Doll Accessories/Vehicles/Boats,item_type_keyword:doll-boats,See all available refinements
